race_id	place	raceno	waku	waku_house	name	expected
202105030201	東京	1	1	1	クリノヴァニラ	
202105030201	東京	1	1	2	ネオトリニティー	
202105030201	東京	1	2	3	ホワイトアイ	
202105030201	東京	1	2	4	イエローレンギョウ	
202105030201	東京	1	3	5	ブッシュドノエル	※
202105030201	東京	1	3	6	エガオガキュート	
202105030201	東京	1	4	7	アルマロベイラ	
202105030201	東京	1	4	8	アラメア	
202105030201	東京	1	5	9	ララパピヨンドメル	※
202105030201	東京	1	5	10	アポロスマイル	※
202105030201	東京	1	6	11	ヤマトライトシップ	
202105030201	東京	1	6	12	フクネン	
202105030201	東京	1	7	13	ボレロ	※
202105030201	東京	1	7	14	エブリーエックス	
202105030201	東京	1	8	15	サンランシング	
202105030201	東京	1	8	16	ドナアネラ	
202105030202	東京	2	1	1	ショベルヘッド	
202105030202	東京	2	1	2	セイウンオードリー	※
202105030202	東京	2	2	3	メリオダス	
202105030202	東京	2	2	4	ピースワンヴィヨレ	
202105030202	東京	2	3	5	ディープアゲイン	
202105030202	東京	2	3	6	セバスチャン	
202105030202	東京	2	4	7	クレストモナーク	
202105030202	東京	2	4	8	シャークウォーニン	
202105030202	東京	2	5	9	ゲットアップ	
202105030202	東京	2	5	10	エコロファルコン	※
202105030202	東京	2	6	11	フミエイター	
202105030202	東京	2	6	12	ゴーフォーゴールド	
202105030202	東京	2	7	13	ジェイエルスマイル	
202105030202	東京	2	7	14	デンジャーマン	
202105030202	東京	2	8	15	ラロコルポ	
202105030202	東京	2	8	16	クロマツミッチー	
202105030203	東京	3	1	1	マイブリュージュ	※
202105030203	東京	3	1	2	サクラスヴニール	
202105030203	東京	3	2	3	メレカリキマカ	
202105030203	東京	3	2	4	ソーラーストーム	
202105030203	東京	3	3	5	ラスティネイル	
202105030203	東京	3	3	6	アイアムヤルワヨ	
202105030203	東京	3	4	7	エクスカテドラ	
202105030203	東京	3	4	8	ヴィグラスレディー	
202105030203	東京	3	5	9	テイエムマルタン	
202105030203	東京	3	5	10	グランディス	
202105030203	東京	3	6	11	ホッコーマイサン	
202105030203	東京	3	6	12	トゥルカナ	
202105030203	東京	3	7	13	サイレントギフト	※
202105030203	東京	3	7	14	ブレード	
202105030203	東京	3	8	15	アイディアリスト	
202105030203	東京	3	8	16	ウインラザンツ	※
202105030204	東京	4	1	1	マイネルリリーフ	
202105030204	東京	4	1	2	ランドヘルツ	
202105030204	東京	4	2	3	カフェファンタスト	
202105030204	東京	4	2	4	レイトンヒル	※
202105030204	東京	4	3	5	カーディナル	※
202105030204	東京	4	3	6	エンドステージ	
202105030204	東京	4	4	7	アイワナスマイル	
202105030204	東京	4	4	8	スケボーマン	
202105030204	東京	4	5	9	メジャーグルーヴ	
202105030204	東京	4	5	10	ジジ	
202105030204	東京	4	6	11	シングマイハート	※
202105030204	東京	4	6	12	フジサンニュウサツ	
202105030204	東京	4	7	13	ファインディーヴァ	
202105030204	東京	4	7	14	ラグジュアリーデイ	
202105030204	東京	4	7	15	モンサンラディウス	
202105030204	東京	4	8	16	コスモオニアシゲ	
202105030204	東京	4	8	17	トロワエスポワール	
202105030204	東京	4	8	18	フッカツノトリデ	
202105030207	東京	7	1	1	レインカルナティオ	
202105030207	東京	7	1	2	マイネルプリンチペ	
202105030207	東京	7	2	3	レイニーデイ	
202105030207	東京	7	2	4	ヒロノブシドウ	
202105030207	東京	7	3	5	タマモブトウカイ	
202105030207	東京	7	3	6	キャルベイ	※
202105030207	東京	7	4	7	スズカブランコ	
202105030207	東京	7	4	8	バンディエラ	
202105030207	東京	7	5	9	プンタアレナス	※
202105030207	東京	7	5	10	ノーブルシルエット	※
202105030207	東京	7	6	11	ジンフラッシュ	
202105030207	東京	7	6	12	ダイモーン	
202105030207	東京	7	7	13	ゴールドミーティア	※
202105030207	東京	7	7	14	リンガスウォリアー	
202105030207	東京	7	8	15	タイムモーメント	
202105030207	東京	7	8	16	アテンフェアリー	※
202105030208	東京	8	1	1	アトムアストレア	
202105030208	東京	8	1	2	ヤマタケクララ	
202105030208	東京	8	2	3	モメチョッタ	
202105030208	東京	8	2	4	シゲルハクチョウザ	
202105030208	東京	8	3	5	アオイカツマ	※
202105030208	東京	8	3	6	レディードリー	
202105030208	東京	8	4	7	ココリホウオウ	
202105030208	東京	8	4	8	アランチオーネ	
202105030208	東京	8	5	9	スパークジョイ	
202105030208	東京	8	5	10	ヴァンデリオン	
202105030208	東京	8	6	11	ブライティアランド	
202105030208	東京	8	6	12	タイガーリリー	
202105030208	東京	8	7	13	レリスタット	※
202105030208	東京	8	7	14	マーベラスアゲン	
202105030208	東京	8	7	15	ノックオンウッド	※
202105030208	東京	8	8	16	エレボアブランシュ	
202105030208	東京	8	8	17	バルトリ	
202105030208	東京	8	8	18	グランチェイサー	
202105030209	東京	9	1	1	エフティイーリス	※
202105030209	東京	9	2	2	アルビージャ	
202105030209	東京	9	3	3	プロース	
202105030209	東京	9	4	4	エトワール	
202105030209	東京	9	5	5	キタノインパクト	※
202105030209	東京	9	6	6	キャベンディッシュ	
202105030209	東京	9	7	7	ミモザイエロー	
202105030209	東京	9	7	8	サイモンサーマル	
202105030209	東京	9	8	9	クロワドフェール	※
202105030209	東京	9	8	10	ディアセオリー	
202105030210	東京	10	1	1	アイムポッシブル	
202105030210	東京	10	2	2	アメリカンファクト	※
202105030210	東京	10	2	3	フィルストバーン	
202105030210	東京	10	3	4	シェパードボーイ	
202105030210	東京	10	3	5	ケイアイビリジアン	
202105030210	東京	10	4	6	シホノレジーナ	
202105030210	東京	10	4	7	プロヴィデンス	
202105030210	東京	10	5	8	モズダッシュスター	
202105030210	東京	10	5	9	サンタナブルー	
202105030210	東京	10	6	10	エアコンヴィーナ	※
202105030210	東京	10	6	11	アイアムハヤスギル	
202105030210	東京	10	7	12	フォーカード	
202105030210	東京	10	7	13	ロライマ	
202105030210	東京	10	8	14	コパノマーキュリー	
202105030210	東京	10	8	15	カミノコ	
202105030211	東京	11	1	1	サリオス	
